Running total of all data acquisitions 
-DATA: mean of events per minute, standard deviation, variance, range -CONDITIONS: Day of month, Time of data collection, Wind speed (kph), Visibility (km), Weather, Sky COnditions, Air Temp (C), Dewpoint (C), 6 Hour Max Temp, 6 Hour Min Temp, Relative Humidity (%), Wind Chill (C), Heat Index (C), Alitimeter Pressure (cm), Sea Level (mb), Precipitation 1h r (cm), Precipitation 3hr (cm), Precipitation 6h (cm) 
--- 0311_Hour9 --- DATA: 85.61666666666666, 9.844712366642353, 96.91836158192089, 42 --- CONDITIONS: 11, 09:53, SE11, 16, Partly Cloudy, FEW020SCT050, 11.1, 6.1, 11.1, 3.3, 72%, NA, NA, 76.4, 1018.4, , ,
--- 0311_Hour10 --- DATA: 84.36666666666666, 8.614073362063133, 74.20225988700564, 41 --- CONDITIONS: 11, 09:53, SE11, 16, Partly Cloudy, FEW020SCT050, 11.1, 6.1, 11.1, 3.3, 72%, NA, NA, 76.4, 1018.4, , ,
--- 0311_Hour11 --- DATA: 87.31666666666666, 7.6101886804081555, 57.91497175141243, 30 --- CONDITIONS: 11, 10:53, S11, 16, Partly Cloudy, SCT030, 11.7, 5.6, , , 66%, NA, NA, 76.43, 1018.7, , ,
--- 0311_Hour12 --- DATA: 83.93333333333334, 9.84088094903639, 96.84293785310733, 42 --- CONDITIONS: 11, 12:53, SE13, 16, Mostly Cloudy, BKN033BKN060, 12.8, 5.6, , , 62%, NA, NA, 76.35, 1018.0, , ,
--- 0311_Hour13 --- DATA: 84.85, 9.340680118960597, 87.24830508474575, 47 --- CONDITIONS: 11, 13:53, N13, 16, Overcast, FEW029OVC035, 11.1, 3.9, , , 61%, NA, NA, 76.33, 1017.7, , ,
--- 0311_Hour14 --- DATA: 87.61666666666666, 10.336854694332867, 106.85056497175142, 54 --- CONDITIONS: 11, 14:53, Calm, 16, Overcast, FEW034BKN048OVC055, 12.2, 3.9, , , 57%, NA, NA, 76.33, 1017.6, , ,
--- 0311_Hour15 --- DATA: 83.53333333333333, 7.797145646067456, 60.79548022598868, 35 --- CONDITIONS: 11, 14:53, Calm, 16, Overcast, FEW034BKN048OVC055, 12.2, 3.9, , , 57%, NA, NA, 76.33, 1017.6, , ,
--- 0311_Hour16 --- DATA: 85.35, 9.186993385086717, 84.40084745762711, 50 --- CONDITIONS: 11, 16:53, NE10, 16, A Few Clouds, FEW041FEW049, 11.1, 4.4, , , 64%, NA, NA, 76.3, 1017.2, , ,
--- 0311_Hour17 --- DATA: 85.01666666666667, 10.98765357451018, 120.72853107344635, 48 --- CONDITIONS: 11, 16:53, NE10, 16, A Few Clouds, FEW041FEW049, 11.1, 4.4, , , 64%, NA, NA, 76.3, 1017.2, , ,
--- 0311_Hour18 --- DATA: 82.36666666666666, 7.615698921077248, 57.99887005649717, 34 --- CONDITIONS: 11, 16:53, NE10, 16, A Few Clouds, FEW041FEW049, 11.1, 4.4, , , 64%, NA, NA, 76.3, 1017.2, , ,
--- 0311_Hour19 --- DATA: 84.7, 11.129895609177403, 123.87457627118643, 51 --- CONDITIONS: 11, 18:53, NE5, 16, Partly Cloudy, SCT060, 8.3, 4.4, , , 77%, NA, NA, 76.35, 1018.0, , ,
--- 0311_Hour20 --- DATA: 84.41666666666667, 8.866795164949686, 78.62005649717513, 43 --- CONDITIONS: 11, 19:53, Calm, 16, Fair, CLR, 7.2, 3.9, , , 80%, NA, NA, 76.4, 1018.4, , ,
--- 0311_Hour21 --- DATA: 85.35, 9.878627846801054, 97.58728813559323, 47 --- CONDITIONS: 11, 20:53, Calm, 16, Fair, CLR, 5, 2.8, , , 86%, NA, NA, 76.4, 1018.7, , ,
--- 0311_Hour22 --- DATA: 84.2, 9.900864540234242, 98.02711864406781, 47 --- CONDITIONS: 11, 21:53, Calm, 16, Fair, CLR, 5.6, 2.8, 12.8, 4.4, 82%, NA, NA, 76.43, 1018.9, , ,
--- 0311_Hour23 --- DATA: 84.16666666666667, 10.035811582741765, 100.71751412429379, 53 --- CONDITIONS: 11, 23:53, Calm, 16, Fair, CLR, 3.9, 2.2, , , 89%, NA, NA, 76.45, 1019.1, , ,
--- 0311_Hour24 --- DATA: 84.88333333333334, 11.010151966602624, 121.22344632768362, 62 --- CONDITIONS: 12, 00:53, Calm, 16, Fair, CLR, 4.4, 2.2, , , 86%, NA, NA, 76.45, 1019.2, , ,
--- 0312_Hour1 --- DATA: 84.21666666666667, 9.144956314204052, 83.63022598870054, 50 --- CONDITIONS: 12, 01:53, Calm, 16, Partly Cloudy, SCT100, 5.6, 2.8, , , 82%, NA, NA, 76.45, 1019.1, , ,
--- 0312_Hour2 --- DATA: 86.68333333333334, 8.8709995360366, 78.69463276836157, 43 --- CONDITIONS: 12, 02:53, Calm, 16, Fair, CLR, 3.9, 1.7, , , 86%, NA, NA, 76.45, 1019.1, , ,
--- 0312_Hour3 --- DATA: 85.11666666666666, 9.205914949449465, 84.74887005649715, 45 --- CONDITIONS: 12, 03:53, Calm, 16, Fair, CLR, 3.9, 1.7, 5.6, 2.8, 86%, NA, NA, 76.43, 1019.0, , ,
--- 0312_Hour4 --- DATA: 85.2, 9.254957443885715, 85.65423728813559, 44 --- CONDITIONS: 12, 04:53, Calm, 16, Fair, CLR, 2.8, 0.6, , , 86%, NA, NA, 76.45, 1019.2, , ,
--- 0312_Hour5 --- DATA: 86.4, 10.234868947518642, 104.75254237288134, 45 --- CONDITIONS: 12, 05:53, E5, 16, Fair, CLR, 2.8, 0.6, , , 86%, NA, NA, 76.5, 1019.9, , ,
--- 0312_Hour6 --- DATA: 83.5, 9.558916327488813, 91.37288135593221, 40 --- CONDITIONS: 12, 00:53, Calm, 16, Fair, CLR, 4.4, 2.2, , , 86%, NA, NA, 76.45, 1019.2, , ,
--- 0312_Hour7 --- DATA: 87.13333333333334, 10.054877670650768, 101.10056497175141, 41 --- CONDITIONS: 12, 07:53, Calm, 16, Fair, CLR, 8.3, 4.4, , , 77%, NA, NA, 76.61, 1021.1, , ,
--- 0312_Hour8 --- DATA: 85.08333333333333, 9.867411981317066, 97.36581920903957, 45 --- CONDITIONS: 12, 07:53, Calm, 16, Fair, CLR, 8.3, 4.4, , , 77%, NA, NA, 76.61, 1021.1, , ,
--- 0312_Hour9 --- DATA: 83.38333333333334, 8.856849626742822, 78.44378531073447, 44 --- CONDITIONS: 12, 09:53, SW11, 16, A Few Clouds, FEW100, 13.3, 3.3, 13.3, 1.7, 51%, NA, NA, 76.63, 1021.5, , ,
--- 0312_Hour10 --- DATA: 82.53333333333333, 7.960637625996386, 63.37175141242937, 32 --- CONDITIONS: 12, 10:53, SW13, 16, Fair, CLR, 14.4, 4.4, , , 51%, NA, NA, 76.63, 1021.5, , ,
--- 0312_Hour11 --- DATA: 84.16666666666667, 9.171005650023796, 84.10734463276837, 45 --- CONDITIONS: 12, 10:53, SW13, 16, Fair, CLR, 14.4, 4.4, , , 51%, NA, NA, 76.63, 1021.5, , ,
--- 0312_Hour12 --- DATA: 84.85, 9.710775074234439, 94.29915254237287, 48 --- CONDITIONS: 12, 10:53, SW13, 16, Fair, CLR, 14.4, 4.4, , , 51%, NA, NA, 76.63, 1021.5, , ,
--- 0312_Hour13 --- DATA: 81.65, 8.727173615898442, 76.16355932203389, 42 --- CONDITIONS: 12, 12:53, W29, 16, A Few Clouds, FEW055FEW070, 15.6, 6.1, , , 53%, NA, NA, 76.56, 1020.6, , ,
--- 0312_Hour14 --- DATA: 82.95, 8.842165928384556, 78.18389830508474, 35 --- CONDITIONS: 12, 14:53, W26G39, 16, Partly Cloudy, SCT045, 13.3, 7.8, , , 70%, NA, NA, 76.5, 1019.9, , ,
--- 0312_Hour15 --- DATA: 82.60655737704919, 13.350753647297205, 178.24262295081965, 98 --- CONDITIONS: 12, 14:53, W26G39, 16, Mostly Cloudy, BKN065BKN100, 13.3, 7.8, , , 70%, NA, NA, 76.5, 1019.9, , ,
--- 0312_Hour16 --- DATA: 84.11666666666666, 10.191541302683014, 103.86751412429379, 55 --- CONDITIONS: 12, 15:53, W19, 14, Light Rain, BKN065BKN100, 12.2, 8.9, 16.1, 12.2, 80%, NA, NA, 76.5, 1020.0, 0.03, , 0.03
--- 0312_Hour17 --- DATA: 83.61666666666666, 9.259153357837572, 85.73192090395479, 43 --- CONDITIONS: 12, 16:53, N11, 5, Rain, FEW040BKN070OVC090, 12.2, 9.4, , , 83%, NA, NA, 76.56, 1020.5, 0.15, ,
--- 0312_Hour18 --- DATA: 83.46666666666667, 9.145651308305348, 83.64293785310734, 49 --- CONDITIONS: 12, 18:53, Calm, 16, Partly Cloudy, FEW038SCT090, 11.7, 8.3, , , 80%, NA, NA, 76.58, 1021.1, , 0.25,
--- 0312_Hour19 --- DATA: 84.58333333333333, 8.1828503315179, 66.95903954802259, 32 --- CONDITIONS: 12, 12:53, W29, 16, A Few Clouds, FEW055FEW070, 15.6, 6.1, , , 53%, NA, NA, 76.56, 1020.6, , ,
--- 0312_Hour20 --- DATA: 88.15, 9.654760834928073, 93.214406779661, 40 --- CONDITIONS: 12, 19:53, NW10, 16, Fair, CLR, 10.6, 6.7, , , 77%, NA, NA, 76.63, 1021.7, , ,
--- 0312_Hour21 --- DATA: 83.93333333333334, 10.090886417979592, 101.82598870056498, 51 --- CONDITIONS: 12, 21:53, Calm, 16, Fair, CLR, 7.8, 6.1, 12.2, 7.2, 89%, NA, NA, 76.68, 1022.2, , , 0.25
--- 0312_Hour22 --- DATA: 84.68333333333334, 8.83845923121903, 78.1183615819209, 46 --- CONDITIONS: 12, 21:53, Calm, 16, Fair, CLR, 7.8, 6.1, 12.2, 7.2, 89%, NA, NA, 76.68, 1022.2, , , 0.25
--- 0312_Hour23 --- DATA: 83.75, 8.617335700567269, 74.25847457627118, 41 --- CONDITIONS: 12, 22:53, Calm, 16, Fair, CLR, 8.3, 5.6, , , 83%, NA, NA, 76.71, 1022.5, , ,
--- 0312_Hour24 --- DATA: 83.26666666666667, 8.30124897008136, 68.91073446327684, 33 --- CONDITIONS: 12, 23:53, NW14, 16, Fair, CLR, 10.6, 6.1, , , 74%, NA, NA, 76.71, 1022.5, , ,
--- 0313_Hour1 --- DATA: 83.7, 9.741228127075601, 94.89152542372882, 40 --- CONDITIONS: 13, 00:53, W13, 16, Fair, CLR, 11.1, 6.1, , , 72%, NA, NA, 76.71, 1022.7, , ,
--- 0313_Hour2 --- DATA: 85.26666666666667, 10.86569265330831, 118.06327683615818, 54 --- CONDITIONS: 13, 01:53, W11, 16, Fair, CLR, 8.9, 5.6, , , 80%, 7.2, NA, 76.71, 1022.6, , ,
--- 0313_Hour3 --- DATA: 82.3, 9.209979848705387, 84.82372881355931, 38 --- CONDITIONS: 13, 03:53, Vrbl10, 16, Fair, CLR, 8.9, 5, 11.1, 7.8, 77%, 7.2, NA, 76.68, 1022.3, , ,
--- 0313_Hour4 --- DATA: 86.36666666666666, 9.407834215842048, 88.50734463276835, 42 --- CONDITIONS: 13, 03:53, Vrbl10, 16, Fair, CLR, 8.9, 5, 11.1, 7.8, 77%, 7.2, NA, 76.68, 1022.3, , ,
--- 0313_Hour5 --- DATA: 84.7, 9.009035012941553, 81.1627118644068, 43 --- CONDITIONS: 13, 05:53, N11, 16, Fair, CLR, 8.3, 5, , , 80%, 6.7, NA, 76.76, 1023.4, , ,
--- 0313_Hour6 --- DATA: 85.06666666666666, 10.24424876544696, 104.94463276836157, 43 --- CONDITIONS: 13, 00:53, W13, 16, Fair, CLR, 11.1, 6.1, , , 72%, NA, NA, 76.71, 1022.7, , ,
--- 0313_Hour7 --- DATA: 83.3, 8.559462995986433, 73.26440677966103, 43 --- CONDITIONS: 11, 19:53, Calm, 16, Fair, CLR, 7.2, 3.9, , , 80%, NA, NA, 76.4, 1018.4, , ,
--- 0313_Hour8 --- DATA: 86.15, 9.262325732023339, 85.79067796610168, 36 --- CONDITIONS: 13, 07:53, N21G29, 16, Fair, CLR, 12.8, 5, , , 59%, NA, NA, 76.81, 1024.0, , ,
--- 0313_Hour9 --- DATA: 86.93333333333334, 9.418457656791178, 88.70734463276835, 50 --- CONDITIONS: 13, 08:53, N13, 16, Fair, CLR, 15, 5.6, , , 54%, NA, NA, 76.84, 1024.3, , ,
--- 0313_Hour10 --- DATA: 84.21666666666667, 9.409860797375735, 88.5454802259887, 36 --- CONDITIONS: 12, 22:53, Calm, 16, Fair, CLR, 8.3, 5.6, , , 83%, NA, NA, 76.71, 1022.5, , ,
--- 0313_Hour11 --- DATA: 83.08196721311475, 13.855558549991423, 191.97650273224045, 100 --- CONDITIONS: 13, 10:53, Vrbl8, 16, A Few Clouds, FEW035, 17.8, 5.6, , , 45%, NA, NA, 76.84, 1024.3, , ,
--- 0313_Hour12 --- DATA: 82.16666666666667, 7.9151574535270175, 62.6497175141243, 33 --- CONDITIONS: 13, 12:53, W27G40, 16, Fair, CLR, 17.2, 7.8, , , 54%, NA, NA, 76.76, 1023.3, , ,
--- 0313_Hour13 --- DATA: 83.35, 8.586202964985873, 73.7228813559322, 32 --- CONDITIONS: 13, 13:53, W39G48, 16, Fair and Breezy, CLR, 17.2, 7.2, , , 52%, NA, NA, 76.71, 1022.7, , ,
--- 0313_Hour14 --- DATA: 83.36666666666666, 9.531333992868776, 90.84632768361583, 43 --- CONDITIONS: 13, 14:53, W35G50, 16, Fair and Breezy, CLR, 16.7, 6.7, , , 52%, NA, NA, 76.71, 1022.5, , ,
--- 0313_Hour15 --- DATA: 83.08333333333333, 9.499851322059886, 90.24717514124295, 41 --- CONDITIONS: 13, 14:53, W35G50, 16, Fair and Breezy, CLR, 16.7, 6.7, , , 52%, NA, NA, 76.71, 1022.5, , ,
--- 0313_Hour16 --- DATA: 81.71666666666667, 10.738954383129572, 115.32514124293783, 51 --- CONDITIONS: 13, 16:53, W23G39, 16, Fair, CLR, 16.1, 5.6, , , 50%, NA, NA, 76.71, 1022.5, , ,
--- 0313_Hour17 --- DATA: 81.28333333333333, 7.023185975249258, 49.32514124293787, 36 --- CONDITIONS: 13, 17:53, NW10, 16, Fair, CLR, 13.9, 6.1, , , 60%, NA, NA, 76.71, 1022.6, , ,
--- 0313_Hour18 --- DATA: 81.05, 9.441030179353186, 89.13305084745764, 42 --- CONDITIONS: 13, 19:53, W11, 16, Fair, CLR, 11.7, 6.1, , , 69%, NA, NA, 76.71, 1022.5, , ,
--- 0313_Hour19 --- DATA: 83.66666666666667, 8.757885873414395, 76.70056497175142, 48 --- CONDITIONS: 13, 20:53, SW5, 16, Fair, CLR, 10, 5.6, , , 74%, NA, NA, 76.73, 1023.0, , ,
--- 0313_Hour20 --- DATA: 83.06666666666666, 8.11958641901293, 65.9276836158192, 32 --- CONDITIONS: 13, 19:53, W11, 16, Fair, CLR, 11.7, 6.1, , , 69%, NA, NA, 76.71, 1022.5, , ,
--- 0313_Hour21 --- DATA: 86.25, 8.954924788411217, 80.19067796610169, 45 --- CONDITIONS: 13, 22:53, Calm, 16, Fair, CLR, 7.2, 4.4, 16.7, 7.2, 83%, NA, NA, 76.78, 1023.6, , ,
--- 0313_Hour22 --- DATA: 82.0, 9.116942693019224, 83.11864406779661, 47 --- CONDITIONS: 13, 19:53, W11, 16, Fair, CLR, 11.7, 6.1, , , 69%, NA, NA, 76.71, 1022.5, , ,
--- 0313_Hour23 --- DATA: 83.71666666666667, 8.11796849152413, 65.90141242937854, 35 --- CONDITIONS: 13, 23:53, N10, 16, Fair, CLR, 8.3, 5.6, , , 83%, 6.7, NA, 76.84, 1024.2, , ,
--- 0313_Hour24 --- DATA: 82.68333333333334, 9.503775639840693, 90.32175141242938, 44 --- CONDITIONS: 14, 00:53, NE19, 16, Fair, CLR, 10.6, 5.6, , , 71%, NA, NA, 76.81, 1024.0, , ,
--- 0314_Hour1 --- DATA: 85.08333333333333, 7.889687898848911, 62.24717514124295, 42 --- CONDITIONS: 14, 02:53, NW5, 16, Fair, CLR, 6.1, 3.3, , , 82%, NA, NA, 76.86, 1024.7, , ,
--- 0314_Hour2 --- DATA: 84.46666666666667, 7.887915379842004, 62.219209039548026, 39 --- CONDITIONS: 14, 03:53, Calm, 16, Fair, CLR, 5.6, 3.3, , , 85%, NA, NA, 76.84, 1024.2, , ,
--- 0314_Hour4 --- DATA: 84.46666666666667, 8.699243424470433, 75.67683615819207, 35 --- CONDITIONS: 14, 04:53, Calm, 16, Fair, CLR, 5.6, 3.3, 10.6, 4.4, 85%, NA, NA, 76.81, 1024.1, , ,
--- 0314_Hour5 --- DATA: 84.1, 9.022946266161286, 81.41355932203389, 43 --- CONDITIONS: 14, 05:53, Calm, 16, Partly Cloudy, SCT027, 5.6, 3.9, , , 89%, NA, NA, 76.81, 1024.1, , ,
--- 0314_Hour6 --- DATA: 81.96666666666667, 9.775387055784313, 95.5581920903955, 50 --- CONDITIONS: 14, 05:53, Calm, 16, Partly Cloudy, SCT027, 5.6, 3.9, , , 89%, NA, NA, 76.81, 1024.1, , ,
--- 0314_Hour7 --- DATA: 85.95, 9.57472838929719, 91.67542372881357, 39 --- CONDITIONS: 14, 06:53, W10, 16, Overcast, OVC027, 6.1, 3.9, , , 86%, 3.9, NA, 76.84, 1024.3, , ,
--- 0314_Hour8 --- DATA: 83.01666666666667, 8.998100866796255, 80.96581920903952, 38 --- CONDITIONS: 14, 08:53, W5, 16, Mostly Cloudy, BKN031, 11.1, 6.7, , , 75%, NA, NA, 76.91, 1025.3, , ,
--- 0314_Hour9 --- DATA: 83.45, 8.417948942989597, 70.86186440677967, 38 --- CONDITIONS: 14, 08:53, W5, 16, Mostly Cloudy, BKN031, 11.1, 6.7, , , 75%, NA, NA, 76.91, 1025.3, , ,
--- 0314_Hour10 --- DATA: 84.85, 8.388501007482944, 70.36694915254236, 38 --- CONDITIONS: 13, 22:53, Calm, 16, Fair, CLR, 7.2, 4.4, 16.7, 7.2, 83%, NA, NA, 76.78, 1023.6, , ,
--- 0314_Hour11 --- DATA: 83.36666666666666, 9.797901308775119, 95.99887005649718, 42 --- CONDITIONS: 14, 10:53, N14, 16, Partly Cloudy, SCT031, 14.4, 6.1, 15, 4.4, 58%, NA, NA, 76.86, 1024.7, , ,
--- 0314_Hour12 --- DATA: 83.25, 8.654625490041806, 74.90254237288136, 50 --- CONDITIONS: 14, 11:53, SW16, 16, Fair, CLR, 15, 6.7, , , 58%, NA, NA, 76.86, 1024.7, , ,
--- 0314_Hour13 --- DATA: 81.91666666666667, 9.67311785514619, 93.56920903954803, 43 --- CONDITIONS: 14, 12:53, SW14, 16, Partly Cloudy, SCT050, 15, 7.8, , , 62%, NA, NA, 76.81, 1023.9, , ,
--- 0314_Hour14 --- DATA: 84.23333333333333, 8.224326599947188, 67.63954802259887, 43 --- CONDITIONS: 14, 13:53, SW13, 16, Mostly Cloudy, SCT045BKN100, 13.9, 6.7, , , 62%, NA, NA, 76.76, 1023.4, , ,
--- 0314_Hour15 --- DATA: 83.83333333333333, 9.87406578574616, 97.49717514124293, 39 --- CONDITIONS: 14, 14:53, SW14, 16, Partly Cloudy, SCT035, 14.4, 6.1, , , 58%, NA, NA, 76.68, 1022.4, , ,
--- 0314_Hour16 --- DATA: 85.03333333333333, 8.781657823229837, 77.11751412429379, 47 --- CONDITIONS: 14, 15:53, W19, 16, Partly Cloudy, SCT035, 13.9, 6.7, , , 62%, NA, NA, 76.61, 1021.4, , ,
--- 0314_Hour17 --- DATA: 83.21666666666667, 9.150514789013501, 83.7319209039548, 47 --- CONDITIONS: 14, 17:53, W5, 16, Partly Cloudy, SCT035, 14.4, 6.1, , , 58%, NA, NA, 76.53, 1020.2, , ,
--- 0314_Hour18 --- DATA: 84.88333333333334, 9.928714847908235, 98.57937853107344, 51 --- CONDITIONS: 14, 18:53, S5, 16, Mostly Cloudy, SCT040BKN160, 13.9, 6.1, , , 60%, NA, NA, 76.48, 1019.7, , ,
--- 0314_Hour19 --- DATA: 81.88333333333334, 7.856966393205128, 61.7319209039548, 34 --- CONDITIONS: 14, 19:53, Calm, 16, Partly Cloudy, SCT040, 12.2, 6.1, , , 67%, NA, NA, 76.48, 1019.7, , ,
--- 0314_Hour20 --- DATA: 83.95, 10.324276147319079, 106.5906779661017, 45 --- CONDITIONS: 14, 20:53, W8, 16, Mostly Cloudy, SCT040BKN160, 10.6, 5, , , 69%, NA, NA, 76.5, 1019.9, , ,
--- 0314_Hour21 --- DATA: 86.51666666666667, 9.869472993789548, 97.40649717514123, 44 --- CONDITIONS: 14, 21:53, Calm, 16, Mostly Cloudy, SCT040BKN160, 11.1, 5.6, , , 69%, NA, NA, 76.5, 1019.9, , ,
--- 0314_Hour22 --- DATA: 83.15, 8.690195137361629, 75.5194915254237, 44 --- CONDITIONS: 14, 21:53, Calm, 16, Mostly Cloudy, SCT040BKN160, 11.1, 5.6, , , 69%, NA, NA, 76.5, 1019.9, , ,
--- 0314_Hour23 --- DATA: 84.46666666666667, 9.669919577368178, 93.50734463276837, 35 --- CONDITIONS: 14, 23:53, Calm, 16, A Few Clouds, FEW120, 10.6, 5, , , 69%, NA, NA, 76.5, 1019.9, , ,
--- 0314_Hour24 --- DATA: 81.85245901639344, 14.218340345687057, 202.16120218579235, 105 --- CONDITIONS: 14, 23:53, Calm, 16, A Few Clouds, FEW120, 10.6, 5, , , 69%, NA, NA, 76.5, 1019.9, , ,
--- 0315_Hour1 --- DATA: 85.46666666666667, 8.905276795375869, 79.3039548022599, 44 --- CONDITIONS: 15, 01:53, Calm, 16, Overcast, OVC029, 11.1, 6.7, , , 75%, NA, NA, 76.4, 1018.6, , ,
--- 0315_Hour2 --- DATA: 84.38333333333334, 11.843744922333931, 140.2742937853108, 52 --- CONDITIONS: 15, 02:53, NW5, 5, Light Rain, OVC021, 10, 7.2, , , 83%, NA, NA, 76.38, 1018.2, , ,
--- 0315_Hour7 --- DATA: 85.43333333333334, 10.032771161306394, 100.65649717514127, 40 --- CONDITIONS: 15, 07:53, NW21, 16, Mostly Cloudy, FEW006SCT009BKN030, 9.4, 3.9, , , 69%, 6.7, NA, 76.28, 1016.9, , ,
--- 0315_Hour8 --- DATA: 83.93333333333334, 10.528197274610092, 110.84293785310734, 48 --- CONDITIONS: 15, 07:53, NW21, 16, Mostly Cloudy, FEW006SCT009BKN030, 9.4, 3.9, , , 69%, 6.7, NA, 76.28, 1016.9, , ,
--- 0315_Hour9 --- DATA: 84.91803278688525, 13.824248119358021, 191.10983606557377, 108 --- CONDITIONS: 15, 08:53, W16, 16, Partly Cloudy, SCT035, 10, 4.4, , , 68%, 7.8, NA, 76.3, 1017.3, , ,
--- 0315_Hour10 --- DATA: 84.18333333333334, 9.51268852311759, 90.49124293785313, 56 --- CONDITIONS: 15, 09:53, NW35G51, 16, Partly Cloudy and Breezy, SCT025, 11.1, 1.1, , , 50%, NA, NA, 76.33, 1017.4, , ,
--- 0315_Hour11 --- DATA: 85.78333333333333, 9.156069889379888, 83.83361581920903, 51 --- CONDITIONS: 15, 11:53, NW26G42, , Fair, SCT035CLR, 13.3, 1.7, , , 46%, NA, NA, 76.28, 1016.8, , ,
--- 0315_Hour12 --- DATA: 82.8360655737705, 14.209363494856543, 201.90601092896173, 106 --- CONDITIONS: 15, 12:53, NW37G56, 16, Fair and Breezy, CLR, 14.4, 1.1, , , 41%, NA, NA, 76.23, 1016.1, , ,
--- 0315_Hour13 --- DATA: 83.0, 8.949955023085549, 80.10169491525424, 37 --- CONDITIONS: 15, 12:53, NW37G56, 16, Fair and Breezy, CLR, 14.4, 1.1, , , 41%, NA, NA, 76.23, 1016.1, , ,
--- 0315_Hour14 --- DATA: 80.90163934426229, 13.195586279804303, 174.12349726775955, 99 --- CONDITIONS: 15, 13:53, N26G40, 16, Light Rain, SCT060, 14.4, 2.8, , , 46%, NA, NA, 76.17, 1015.3, , ,
--- 0315_Hour15 --- DATA: 85.9, 8.25586591666182, 68.15932203389832, 44 --- CONDITIONS: 15, 14:53, NW32, 16, Light Rain, FEW038SCT055, 11.1, 3.9, , , 61%, NA, NA, 76.15, 1015.2, 0.03, ,
--- 0315_Hour16 --- DATA: 85.08333333333333, 11.010459844561469, 121.23022598870055, 62 --- CONDITIONS: 15, 14:53, NW32, 16, Light Rain, FEW038SCT055, 11.1, 3.9, , , 61%, NA, NA, 76.15, 1015.2, 0.03, ,
--- 0315_Hour17 --- DATA: 87.28333333333333, 10.262803771043169, 105.32514124293787, 41 --- CONDITIONS: 15, 16:53, NW35G48, 16, Light Rain and Breezy, FEW035SCT095, 13.3, 0.6, 15, 8.9, 42%, NA, NA, 76.1, 1014.4, , , 0.05
--- 0315_Hour18 --- DATA: 82.37704918032787, 14.820215849109879, 219.63879781420766, 110 --- CONDITIONS: 15, 18:53, NW24, 16, A Few Clouds, FEW035, 10, 0.6, , , 52%, 7.2, NA, 76.12, 1014.7, , ,
--- 0315_Hour19 --- DATA: 85.96666666666667, 9.004644125072852, 81.08361581920903, 44 --- CONDITIONS: 15, 18:53, NW24, 16, A Few Clouds, FEW035, 10, 0.6, , , 52%, 7.2, NA, 76.12, 1014.7, , ,
--- 0315_Hour20 --- DATA: 83.6, 10.456041964305712, 109.32881355932204, 58 --- CONDITIONS: 15, 20:53, NW35G45, 16, Partly Cloudy and Breezy, SCT048, 9.4, 0.6, , , 55%, 5.6, NA, 76.15, 1015.2, , ,
--- 0315_Hour21 --- DATA: 84.15, 9.125908359710309, 83.2822033898305, 41 --- CONDITIONS: 15, 21:53, NW27G47, 16, Fair, CLR, 8.9, 0.6, , , 56%, 5.6, NA, 76.15, 1015.3, , ,
--- 0315_Hour22 --- DATA: 82.48333333333333, 8.811571103426134, 77.64378531073447, 39 --- CONDITIONS: 14, 13:53, SW13, 16, Mostly Cloudy, SCT045BKN100, 13.9, 6.7, , , 62%, NA, NA, 76.76, 1023.4, , ,
--- 0315_Hour23 --- DATA: 83.16666666666667, 8.415414965380377, 70.819209039548, 38 --- CONDITIONS: 15, 23:53, N10, 16, Fair, CLR, 7.8, 1.1, , , 63%, 6.1, NA, 76.2, 1015.7, , ,
--- 0315_Hour24 --- DATA: 84.91666666666667, 8.285768208335297, 68.6539548022599, 40 --- CONDITIONS: 16, 00:53, NW10, 16, Fair, CLR, 7.8, 0.6, , , 61%, 6.1, NA, 76.17, 1015.6, , ,
--- 0316_Hour1 --- DATA: 84.76666666666667, 8.834383265605803, 78.04632768361584, 37 --- CONDITIONS: 16, 01:53, N13, 16, Fair, CLR, 6.7, 0, , , 63%, 3.9, NA, 76.17, 1015.3, , ,
--- 0316_Hour2 --- DATA: 82.91666666666667, 8.195268719116603, 67.16242937853109, 44 --- CONDITIONS: 16, 02:53, W16, 16, Fair, CLR, 6.7, 0, , , 63%, 3.9, NA, 76.15, 1015.3, , ,
--- 0316_Hour3 --- DATA: 84.05, 8.214136223505493, 67.47203389830509, 41 --- CONDITIONS: 16, 02:53, W16, 16, Fair, CLR, 6.7, 0, , , 63%, 3.9, NA, 76.15, 1015.3, , ,
--- 0316_Hour4 --- DATA: 87.31666666666666, 9.829895022745262, 96.62683615819209, 54 --- CONDITIONS: 16, 04:53, Calm, 16, Fair, CLR, 5.6, -0.6, 8.9, 4.4, 65%, NA, NA, 76.12, 1014.7, , ,
--- 0316_Hour5 --- DATA: 87.31666666666666, 9.34914419479886, 87.40649717514124, 42 --- CONDITIONS: 16, 04:53, Calm, 16, Fair, CLR, 5.6, -0.6, 8.9, 4.4, 65%, NA, NA, 76.12, 1014.7, , ,
--- 0316_Hour6 --- DATA: 83.19672131147541, 13.387580901879605, 179.22732240437156, 98 --- CONDITIONS: 16, 05:53, NW5, 16, Fair, CLR, 4.4, -0.6, , , 70%, NA, NA, 76.15, 1015.2, , ,
